,RandomForestClassifier(),SVC(),GaussianNB(),KNeighborsClassifier(),LogisticRegression(),LGBMClassifier(verbosity=-1),"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",MLPClassifier(),pairs_num
acc,0.9380952380952381,0.9333333333333333,0.930952380952381,0.9404761904761905,0.9380952380952381,0.9333333333333333,0.9357142857142857,0.9428571428571428,10
precision_weighted,0.9378713528171426,0.9331622383252818,0.9310442773600669,0.9421795206213953,0.9379399585921324,0.933076637281724,0.9355016824330903,0.9427176788589833,10
precision_macro,0.9342891883676158,0.9276871980676329,0.9315789473684211,0.9300669506999392,0.9329710144927537,0.9289695004559733,0.9309661457675897,0.9382548309178744,10
f1_weighted,0.9378896365309409,0.9332246603970743,0.9302802744994253,0.9408691292886832,0.9379943275115689,0.9331119162640903,0.9355556293190918,0.9427639946260638,10
f1_macro,0.93131038647343,0.9262695924764891,0.9224593994104877,0.9352806661776761,0.9315360501567398,0.9260265700483092,0.9287862897908177,0.9368025078369906,10
recall_weighted,0.9380952380952381,0.9333333333333333,0.930952380952381,0.9404761904761905,0.9380952380952381,0.9333333333333333,0.9357142857142857,0.9428571428571428,10
recall_macro,0.9285571442855715,0.924907509249075,0.9150834916508349,0.9415808419158085,0.9301569843015698,0.9233076692330767,0.9267323267673233,0.9354064593540645,10
acc,0.9595238095238096,0.9547619047619048,0.9452380952380952,0.95,0.9380952380952381,0.9357142857142857,0.9476190476190476,0.9428571428571428,20
precision_weighted,0.9594703687117481,0.9546459557289882,0.9451685423394888,0.9503380470046311,0.9378713528171426,0.9355235486242425,0.9475170068027211,0.9427040816326531,20
precision_macro,0.9560501567398119,0.952172376360102,0.9445326301236591,0.9431263775725005,0.9342891883676158,0.9337796666581326,0.9464285714285714,0.9410714285714286,20
